"","Var1","Freq","percent"
"1","Actinobacteria",3,0.00169204737732657
"2","Alphaproteobacteria",150,0.0846023688663283
"3","Bacteroidetes/Chlorobi group",1,0.000564015792442188
"4","Betaproteobacteria",286,0.161308516638466
"5","Deferribacteres",2,0.00112803158488438
"6","delta/epsilon subdivisions",105,0.0592216582064298
"7","Gammaproteobacteria",1187,0.669486745628878
"8","Hydrogenophilalia",10,0.00564015792442188
"9","Nitrospira",1,0.000564015792442188
"10","unclassified Acidobacteria",1,0.000564015792442188
"11","unclassified Bacteria (miscellaneous)",1,0.000564015792442188
"12","unclassified Proteobacteria",4,0.00225606316976875
"13","uncultured bacterium",1,0.000564015792442188
"14","Zetaproteobacteria",21,0.011844331641286
